Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Type
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,12.9353,77.5585,,,,,,,,,,,,,Person
,,,,,,12.9155,77.5135,,,,,,,,,,,,,Person
,,,,,,12.9854,77.7081,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9119,77.6446,,,,,,,,,,,,,Person
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,12.9438,77.5738,,,,,,,,,,,,,Person
,,,,,,12.8988,77.5764,,,,,,,,,,,,,Person
,,,,,,12.9662,77.6068,,,,,,,,,,,,,Person
,,,,,,12.9565,77.5484,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,13.0067,77.545,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9119,77.6446,,,,,,,,,,,,,Person
,,,,,,13.0067,77.545,,,,,,,,,,,,,Person
,,,,,,12.8988,77.5764,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0012,77.5995,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9438,77.5738,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.9335,77.5691,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.102,77.5864,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.9037,77.5376,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9438,77.5738,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0289,77.54,,,,,,,,,,,,,Person
,,,,,,13.0289,77.54,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,12.9335,77.5691,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9438,77.5738,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
