Type,latitude,longitude,Resturantatings
CustomeResturant,12.9757,77.5586,2
CustomeResturant,13.0734,77.5464,2
CustomeResturant,13.0734,77.5464,2
CustomeResturant,13.0734,77.5464,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.998,77.6227,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0626,77.5284,2
CustomeResturant,13.0138,77.5877,2
CustomeResturant,13.0138,77.5877,2
CustomeResturant,13.014,77.5658,2
CustomeResturant,12.9551,77.6593,2
CustomeResturant,12.9473,77.5616,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.9299,77.6848,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9828,77.6131,2
CustomeResturant,12.9766,77.5993,2
CustomeResturant,12.9854,77.7081,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9037,77.5376,2
CustomeResturant,12.8834,77.5486,2
CustomeResturant,12.9149,77.5635,2
CustomeResturant,12.9149,77.5635,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,13.0641,77.5931,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,12.9561,77.5921,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,13.0206,77.6479,2
CustomeResturant,13.0012,77.5995,2
CustomeResturant,13.0223,77.7132,2
CustomeResturant,12.9337,77.59,2
CustomeResturant,12.982,77.6256,2
CustomeResturant,13.0262,77.62,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9048,77.6821,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.9261,77.6221,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,12.9217,77.5936,2
CustomeResturant,13.0206,77.6479,2
CustomeResturant,13.0012,77.5995,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.9706,77.6529,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9783,77.6408,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,13.0103,77.5796,2
CustomeResturant,12.9306,77.5434,2
CustomeResturant,13.0641,77.5931,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,12.9561,77.5921,2
CustomeResturant,12.8845,77.6036,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,12.9369,77.6407,2
CustomeResturant,13.0158,77.539,2
CustomeResturant,13.0809,77.5565,2
CustomeResturant,13.0641,77.5931,2
CustomeResturant,12.9859,77.6713,2
CustomeResturant,12.9859,77.6713,2
CustomeResturant,12.9866,77.4904,2
CustomeResturant,12.9847,77.5491,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.9299,77.6848,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.9828,77.6131,2
CustomeResturant,12.9766,77.5993,2
CustomeResturant,12.9854,77.7081,2
CustomeResturant,12.985,77.5533,2
CustomeResturant,12.977,77.5773,2
CustomeResturant,12.8988,77.5764,2
Resturant,12.93328392,77.61542793,4.1
Resturant,12.97022064,77.64539558,4.7
Resturant,12.9791658,77.64070876,4.8
Resturant,12.98041024,77.64048882,3.9
Resturant,12.970324,77.645748,4.2
Resturant,12.97909556,77.64062494,4
Resturant,12.97845292,77.64368467,4.3
Resturant,12.90622878,77.59679094,4.6
Resturant,12.934179,77.615797,4.7
Resturant,12.93329764,77.61429269,4.7
Resturant,12.93436454,77.61615515,4.1
Resturant,12.939496,77.625999,4.3
Resturant,12.93566181,77.61413042,4.5
Resturant,12.94993396,77.6993861,4.6
Resturant,12.97537691,77.696664,4.4
Resturant,13.0291977,77.5709967,4.6
Resturant,12.97253153,77.60817859,4.2
Resturant,12.91304096,77.68323686,4.5
Resturant,12.914264,77.6784,3.9
Resturant,12.9721612,77.5960137,4.4
